STATE_FIPS,STATE,AVERAGE_LISTING_PRICE,MEDIAN_SALES_PRICE
50,Vermont,354479,159355
13,Georgia,272121,172000
19,Iowa,184029,150500
20,Kansas,182285,59044
12,Florida,457711,236000
51,Virginia,351190,329900
37,North Carolina,278273,136149
15,Hawaii,1014643,522000
36,New York,734338,350000
6,California,786021,452000
1,Alabama,225790,145000
16,Idaho,351362,85000
10,Delaware,320860,237000
2,Alaska,306402,210700
17,Illinois,273648,230000
46,South Dakota,220115,101700
9,Connecticut,590341,260000
30,Montana,515351,151300
25,Massachusetts,554664,310000
33,New Hampshire,309280,259500
24,Maryland,400915,320000
35,New Mexico,310365,127503
28,Mississippi,204425,82700
47,Tennessee,239674,132500
8,Colorado,586479,240000
34,New Jersey,430093,342000
49,Utah,449755,129000
26,Michigan,200797,123192
54,West Virginia,191544,105000
53,Washington,339874,305950
27,Minnesota,270690,196812
41,Oregon,354709,244900
56,Wyoming,567664,130702
39,Ohio,175419,133358
45,South Carolina,284178,129900
18,Indiana,177199,63655
32,Nevada,394096,309995
22,Louisiana,220121,165000
31,Nebraska,204151,150000
4,Arizona,337561,248229
55,Wisconsin,224312,198000
38,North Dakota,225257,88600
42,Pennsylvania,252080,179900
40,Oklahoma,208712,106000
21,Kentucky,200402,134500
44,Rhode Island,435577,265000
11,District of Columbia,905642,720000
5,Arkansas,214900,123000
29,Missouri,199702,84624
48,Texas,292547,144900
23,Maine,286452,155300
