State,Rank,HDI
Connecticut,1,6.30
Massachusetts,2,6.24
"Washington, D.C.",3,6.21
New Jersey,4,6.16
Maryland,5,5.96
New York,6,5.77
Minnesota,7,5.74
New Hampshire,8,5.73
Hawaii,9,5.73
Colorado,10,5.65
Rhode Island,11,5.56
California,12,5.56
Virginia,13,5.53
Washington,14,5.53
Illinois,15,5.39
Delaware,16,5.33
Alaska,17,5.27
Vermont,18,5.27
Wisconsin,19,5.23
Pennsylvania,20,5.12
Arizona,21,5.11
Utah,22,5.08
Florida,23,5.07
Iowa,24,5.06
Kansas,25,5.06
Nebraska,26,5.05
Oregon,27,5.03
Michigan,28,4.99
North Dakota,29,4.92
Maine,30,4.89
Ohio,31,4.87
Georgia,32,4.86
South Dakota,33,4.82
Wyoming,34,4.80
Nevada,35,4.78
Indiana,36,4.74
Missouri,37,4.68
Texas,38,4.67
Idaho,39,4.65
North Carolina,40,4.64
New Mexico,41,4.56
Montana,42,4.49
South Carolina,43,4.36
Tennessee,44,4.33
Kentucky,45,4.23
Oklahoma,46,4.15
Alabama,47,4.09
Louisiana,48,4.07
Mississippi,49,3.93
Arkansas,50,3.87
West Virginia,51,3.85
